评论id,发布时间,用户id,用户昵称,用户城市,点赞数,回复数,评论内容
4765826513113904,Thu May 05 18:04:08 +0800 2022,1921261034,SIIVIBA,陕西,87,2,在红线已经如此之多的创作环境里，希望大家不要再过度敏感了。
4765842359978075,Thu May 05 19:07:06 +0800 2022,6351623635,你是奥沙西泮,广东 深圳,10,3,图片评论 
4765819289993306,Thu May 05 17:35:25 +0800 2022,6531634691,S1-WE,陕西,61,1,我感觉描写性爱不羞耻啊，贾平凹陈忠实书里面，写的那么粗狂那么贴切，我觉得没有什么错 风景可以大量描写，吃饭喝茶抽烟聚会等等都可以描写的很细腻，为啥性不行呢，而且我不理解有人说性低俗的，哪个人不是这么来的，现在的网友真气人！
4765819576519003,Thu May 05 17:36:34 +0800 2022,6829868563,Free-Qut,其他,7,2,@AR_刘夫阳 跟@盛宇Damnshine 那个《消失的爱人pt2》大概就是这样吧，qq音乐好像叫wayback，写“她”在酒吧，别人都浓妆艳抹。自己干干净净，可是什么。。。“衣服被人们拔了光，瞳孔含着泪”，就。。完全没必要这样
4765824160368001,Thu May 05 17:54:47 +0800 2022,6128161270,甩·头,北京,14,0,我觉得即使是真的在描写情爱也没有关系啊，所谓的女权难道就是对于一切有关女性的话题全部避而不谈吗？那如果这样的话，连“女”都不存在了，还哪有“权呢”
4765879075604615,Thu May 05 21:33:00 +0800 2022,6994825246,达菲不是大肥-,陕西,2,0,对啊
4765822532191595,Thu May 05 17:48:18 +0800 2022,7333564944,王肉肉肉子,陕西 西安,4,0,支持支持 真的很无语2022了还搞文字狱
4765820456273075,Thu May 05 17:40:04 +0800 2022,3551280352,谢谢椰酥,其他,3,0,支持
4765844439568920,Thu May 05 19:15:22 +0800 2022,7259897513,芝士莓莓yea,天津,1,0,说的太好了辛老师
4765821581398102,Thu May 05 17:44:32 +0800 2022,5289550321,派克特别热,陕西 西安,1,0,好好修养身体，十一周年现场见
4765835036724715,Thu May 05 18:38:00 +0800 2022,5720924070,一个废可,海外,1,0,害 主要那两句歌词也根本没啥 别说性了擦边都不算
4765833319943830,Thu May 05 18:31:11 +0800 2022,7312783754,东东东东吴,其他,1,0,说得真好
4765829843126606,Thu May 05 18:17:22 +0800 2022,7651033353,就走小路,河南 郑州,1,0,说的好棒
4766049167214555,Fri May 06 08:48:53 +0800 2022,2715029185,今天也感染了快乐病毒,河南 郑州,0,0,看完这个在思考 虽然说敏感一点也没关系，但有些时候时常揪住一些行为立马贴上不尊重女性的标签，尤其是跟性相关的一点点事就很容易被认为是辱女了。提到性就指向侮辱，这是不是另一种层面的压迫呢？
4765919093721762,Fri May 06 00:12:01 +0800 2022,5104016927,k-fighting,福建 漳州,0,0,没错
4765839801454083,Thu May 05 18:56:56 +0800 2022,2640618191,StarDust----,陕西,0,0,是啊是啊
4766115147813343,Fri May 06 13:11:04 +0800 2022,5869648502,prof_66,新疆,0,0,🙆‍♂️✅
4766094520487303,Fri May 06 11:49:06 +0800 2022,7401614349,li在想什么,其他,0,0,哥这波发言很帅
